"BehaviorSpace results (NetLogo 6.0.3)"
"Wealth Distribution.nlogo"
"netlogo-1"
"05/18/2021 19:08:55:632 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"num-grain-grown","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"life-expectancy-max","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83"
"metabolism-max","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15"
"grain-growth-interval","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"percent-best-land","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"max-vision","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"life-expectancy-min","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"num-people","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250"
"[reporter]","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve"
,"61.451884522854854","58.94708507670849","60.124174174174236","60.1042219616073","59.87191249117854","59.55123716705304","62.16480777772298","60.82744536388708","60.616536362295335","59.65578125734704","57.51675822651352","60.211917220295135","61.62494916632777","61.22746581019481","61.54829560801688","60.097494342954896","58.18689320388348","59.36032487112147","56.125952045133985","56.01261627583132"
,"61.632109317294486","58.92447261995843","61.350611751674144","61.14291963504562","59.638704851463984","59.5985101283076","63.17363871224168","62.494899585591334","62.14605063415116","60.16139817629178","58.27829625610418","59.98551350728648","61.72267937782237","60.44078580481621","61.43429191535542","59.318546142714034","58.48124779385811","59.54114653351258","55.79821438504757","57.09101694915257"
,"62.81498121222023","59.00229529198246","61.74535573122534","60.75314977567455","58.83626806152571","60.12487036862447","63.53765793225506","62.19375064773552","61.209092648395256","60.956157635467996","57.74194329369986","61.06741410278696","62.04000885260417","61.500397910967386","61.815960912052155","59.37579324185062","59.38293789253315","59.18275173528575","56.27387936435612","56.86612021857926"
,"63.54090443041389","61.21071213531118","62.019068007567434","59.62819282887636","58.49092015826315","60.943855286002524","63.43488193141921","61.87570160220429","62.513627039171624","60.16169131022903","58.279153546458886","61.5635930047695","61.33261556129773","62.77031784841077","62.80210375708764","59.33734170479942","59.83223312776862","59.53859186746987","54.0126460745049","58.162495714775474"
,"63.480108689917174","60.85451632176413","63.15111892746094","59.5655806182122","60.09773058191492","60.08035414367297","62.70376028202117","62.64898454076994","62.78558385391639","61.494760270796604","59.253916801728785","61.49841188815158","60.88068393589269","61.07186529263842","63.335135708227355","60.552314305184275","60.060162775755","59.04355981659026","55.139205630421706","58.773476943790016"
,"64.41730649512343","60.62251673360108","63.20672475088875","59.93377777777783","59.61683628099987","60.06589835896957","61.48826136149351","61.66340061883013","61.87105109204371","62.041950839932255","58.60255455029272","60.51584777363456","61.19353492254892","60.048731707317074","63.79188903566714","61.035519967149206","60.09259730888411","58.71961709211989","55.107664433951896","60.46745960502693"
,"63.80534740276295","59.26749447542882","62.305241038318925","59.49232145950006","60.047236472751905","59.37061105722603","62.39653573250473","63.25120926369276","61.802667805943244","61.36390131489769","59.396402801917134","61.674977040678556","59.51422764227641","60.21264753862391","65.1283751900593","61.066466466466444","61.22336585156215","58.77035323223528","56.16240955930714","60.704036384309255"
,"65.22397057320937","60.93658639183932","61.28474724846595","60.03107702952028","61.16677969385778","60.04887580816367","62.63820107736181","63.77435922520054","62.17848501768102","61.70958996190903","58.10157658818073","62.00826663858468","59.31778886858877","59.842238024311754","63.06684491978612","61.06067377105535","60.44406519327588","59.813148788927336","55.93381163016506","58.79652720809407"
,"66.13520088278077","61.846614583333356","61.26390647832444","59.373619772298206","59.55856571786354","60.57488901756419","63.243666575864864","64.50100700105499","61.900842925768146","61.982379462642626","58.69373538086039","61.59620946085514","58.73687439740558","59.16838252656436","62.75284620161456","60.95145232226577","60.27271580010096","59.408114182962464","55.933232628398805","60.26717515364352"
,"64.97633587786261","61.61435610532263","62.17106256606437","59.97623617069321","60.078771160465884","61.882405057229064","63.92500000000004","65.06665092111476","61.03133736134911","62.80032837726899","59.214329113924045","62.309670886075956","60.604712041884795","59.38390476635954","62.96936895439884","61.26897983392645","61.24909235809795","59.27160738683945","55.93171953255426","59.09771559733305"
